RepCap,Num_User,Num_Ans
0,17053422,32756847
50000,3087,5649144
100000,1092,3584549
150000,563,2585748
200000,347,1964499
250000,241,1623643
300000,175,1364203
350000,118,1104700
400000,87,947217
600,366102,25115466
650,344084,24816304
700,323962,24522449
750,306314,24249669
800,290564,23988200
850,276755,23750836
900,264212,23520585
950,252929,23309129
1200,208586,22351630
2400,112385,19159570
4800,56005,15743812
9600,26028,12424557
19200,11175,9341038
38400,4508,6585430
76800,1613,4248217
153600,547,2542313
307200,167,1337755
614400,36,607259
1228800,1,35385
2457600,0,0
4915200,0,0
